date,house_price_idx,house_price_idx_pct,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2
2021-09,109.477515710269,1.1897170410462454,103.17,3.1,0.75,3.01,411.4578953793175,55191.0,3314910.6
2021-10,110.774089699791,1.184329020539132,103.35,3.3,0.75,3.26,390.9194769608347,48796.0,3350841.4
2021-11,111.660155401626,0.7998853380211113,103.87,3.1,1.0,3.51,389.8486355868253,41141.0,3394545.9
2021-12,112.026269939226,0.3278828838121583,104.04,3.2,1.0,3.63,395.7290899103338,30484.0,3411438.0
2022-01,112.11098240806,0.0756183963636081,104.85,3.2,1.25,3.85,379.7389478181538,24465.0,3449516.3
2022-02,112.087780027042,-0.0206959037550302,105.42,2.9,1.25,3.88,364.6244455973308,26232.0,3487090.3
2022-03,112.02575481148,-0.0553362869235463,106.1,2.8,1.25,3.84,359.8685680571057,32487.0,3490107.7
2022-04,112.020716019914,-0.0044978867354883,106.83,2.8,1.5,3.9,356.0952380952381,35679.0,3501103.0
2022-05,111.964088873305,-0.050550602264443,107.5,2.9,1.75,3.9,347.621501159668,37124.0,3531043.0
2022-06,111.847457321269,-0.1041687144598402,108.21,2.9,1.75,4.04,325.8685028076172,28147.0,3551521.2
2022-07,111.62659382076,-0.1974685037985368,108.73,3.0,2.25,4.16,312.1614249093192,21836.0,3568802.1
2022-08,111.057782347418,-0.5095662725813743,108.63,2.8,2.5,4.35,324.84545482288706,19516.0,3600817.0
2022-09,110.187588647792,-0.7835504016312944,108.82,2.9,2.5,4.79,303.3289993286133,18028.0,3609736.9
2022-10,108.86097319808,-1.2039608689073278,109.16,2.9,3.0,4.82,290.7873663651316,18570.0,3632494.2
2022-11,106.66509982817,-2.0171355311278227,109.07,2.8,3.25,4.74,313.8954523259943,18275.0,3680544.2
2022-12,103.556007779418,-2.9148166117694885,109.26,2.7,3.25,4.63,307.38809640066967,18222.0,3682583.4
2023-01,101.361489874429,-2.119160396433484,110.07,2.7,3.5,4.58,310.7095031738281,17841.0,3690158.6
2023-02,99.7241321670233,-1.6153646808409472,110.33,2.7,3.5,4.56,320.8539978027344,31337.0,3695231.6
2023-03,98.6353274810389,-1.0918166569359622,110.52,2.7,3.5,4.4,314.1859061501243,38926.0,3682032.2
2023-04,98.0199003508459,-0.6239418937513119,110.77,2.6,3.5,4.24,327.82350006103513,34965.0,3668582.4
2023-05,97.7969760987439,-0.2274275441049078,111.13,2.5,3.5,4.21,330.8604965209961,40746.0,3660125.0
2023-06,97.7564096962821,-0.0414802216592402,111.16,2.6,3.5,4.26,341.8838137672061,39622.0,3677250.3
2023-07,97.8190914012128,0.0641203018046931,111.29,2.9,3.5,4.28,341.30333455403644,36260.0,3706857.3
2023-08,98.0474849231658,0.2334856301376087,112.28,2.7,3.5,4.31,335.92136452414775,39277.0,3705568.7
2023-09,98.3943051415516,0.3537267872374183,112.85,2.8,3.5,4.35,336.5447355571546,37629.0,3711225.4
2023-10,98.661216794484,0.2712673792943931,113.27,2.6,3.5,4.56,318.7805256090666,35454.0,3725464.5
2023-11,98.7038987956797,0.0432611745348809,112.68,2.8,3.5,4.48,329.6622730601917,32821.0,3753300.1
