class,feature_kr,feature_value,shap_value
인하,미국 연방기금금리 3개월모멘텀,-0.45,0.10476896
인하,미국 연방기금금리 3개월모멘텀,-0.5,0.11608455
인하,미국 연방기금금리 3개월모멘텀,-0.45,0.12215837
인하,미국 연방기금금리 3개월모멘텀,-0.24,0.09788101
인하,미국 연방기금금리 3개월모멘텀,-0.08,0.0662909
인하,미국 연방기금금리 3개월모멘텀,0.0,0.0056936103
인하,미국 연방기금금리 3개월모멘텀,-1.8281,0.0316252
인하,WTI 유가,62.17,0.023938304
인하,WTI 유가,68.17,0.014728377
인하,WTI 유가,68.39,0.011569705
인하,WTI 유가,64.86,0.011048526
인하,WTI 유가,63.96,0.012269059
인하,WTI 유가,60.89,0.017437972
인하,WTI 유가,60.06,0.01103987
인하,WTI 유가,57.97,0.020037223
인하,WTI 유가,60.04,0.020341858
인하,WTI 유가,64.51,0.011064134
인하,WTI 유가,91.38,-0.00033955864
인하,WTI 유가,100.32,-0.0029932288
인하,WTI 유가,68.3615,-0.0043082894
인하,미국 연방기금금리 변화율,0.0,0.022262968
인하,미국 연방기금금리 변화율,0.0,0.019144716
인하,미국 연방기금금리 변화율,0.0,0.018820692
인하,미국 연방기금금리 변화율,0.0,0.021848964
인하,미국 연방기금금리 변화율,-0.11,0.060389757
인하,미국 연방기금금리 변화율,-0.13,0.062087808
인하,미국 연방기금금리 변화율,-0.21,0.04812585
인하,미국 연방기금금리 변화율,-0.16,0.055136885
인하,미국 연방기금금리 변화율,-0.08,0.056106023
인하,미국 연방기금금리 변화율,0.0,-0.01621163
인하,미국 연방기금금리 변화율,0.0,-0.023323905
인하,미국 연방기금금리 변화율,0.0,0.00079538
인하,미국 연방기금금리 변화율,-1.8281,0.060658175
인하,WTI 유가 3개월평균,64.65,0.014193564
인하,WTI 유가 3개월평균,64.6267,0.013401567
인하,WTI 유가 3개월평균,66.2433,0.011343339
인하,WTI 유가 3개월평균,67.14,0.009223069
인하,WTI 유가 3개월평균,65.7367,0.014477406
인하,WTI 유가 3개월평균,63.2367,0.014586434
인하,WTI 유가 3개월평균,61.6367,0.014483215
인하,WTI 유가 3개월평균,59.64,0.013893519
인하,WTI 유가 3개월평균,59.3567,0.015004543
인하,WTI 유가 3개월평균,60.84,0.013255425
